Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,WorkloadScore,WeeklyHoursWorked,MonthlyMeetings,CompensationSatisfaction,CareerGrowthPerception,ManagerSupportScore,WorkModel,ProductivityScore,SalaryBand,ExperienceBand,TenureBand,WHI,WHI_Risk_Category
48,No,Travel_Rarely,530,Sales,29,1,Medical,473,1,Female,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0,4,43.3,18,4,3,4,Hybrid,3,Above Average,Senior (11-20),New (0-1),56.253116875775255,Moderate
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7,4,49.5,18,4,2,4,Hybrid,3,Below Average,Senior (11-20),Veteran (6-10),54.250537356460335,Moderate
30,No,Non-Travel,641,Sales,25,2,Technical Degree,475,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2,4,52.8,9,3,4,4,Remote,3,Below Average,Early (3-5),Settling (2-3),61.99134428110443,Moderate
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,476,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,No,17,3,2,1,8,3,3,8,7,7,7,2,42.9,11,4,5,4,Hybrid,3,Below Average,Mid (6-10),Veteran (6-10),76.22009672645274,Healthy
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,477,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,No,23,4,2,0,14,6,3,1,0,0,0,3,36.7,13,4,5,2,Onsite,3,Average,Senior (11-20),New (0-1),60.53184683208167,Moderate
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2,4,53.0,5,2,2,2,Remote,3,Low,Early (3-5),Settling (2-3),29.61923376389431,Critical
36,No,Non-Travel,845,Sales,1,5,Medical,479,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0,3,40.7,14,4,4,3,Remote,3,Average,Mid (6-10),New (0-1),66.49962881011248,Moderate
36,No,Travel_Frequently,541,Sales,3,4,Medical,481,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,No,11,3,1,1,16,2,3,13,9,1,12,3,42.7,13,5,3,3,Onsite,3,Average,Senior (11-20),Lifer (10+),62.82559579076772,Moderate
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,482,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2,4,43.9,15,2,3,5,Onsite,4,Average,Senior (11-20),Settling (2-3),57.108616403700054,Moderate
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,483,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7,5,47.9,12,3,4,4,Hybrid,5,Low,Mid (6-10),Veteran (6-10),60.05419084559558,Moderate
21,No,Non-Travel,895,Sales,9,2,Medical,484,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2,3,44.2,7,3,4,2,Hybrid,5,Low,Early (3-5),Settling (2-3),54.66281906346602,Moderate
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,485,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0,4,53.2,9,3,4,5,Hybrid,4,Low,Entry (0-2),New (0-1),65.18465017179855,Moderate
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,486,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3,4,37.2,5,4,4,3,Hybrid,4,Below Average,Senior (11-20),Established (4-5),51.98648567604292,Moderate
46,No,Non-Travel,1144,Research & Development,7,4,Medical,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0,3,41.7,12,2,5,3,Onsite,4,Below Average,Mid (6-10),New (0-1),60.1380244597967,Moderate
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,488,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7,4,36.5,16,4,2,3,Onsite,4,Average,Mid (6-10),Veteran (6-10),48.03535298050874,At Risk
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3,3,43.0,15,3,3,3,Hybrid,3,Above Average,Senior (11-20),Established (4-5),54.08098884979751,Moderate
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,492,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0,4,54.5,14,3,5,4,Remote,4,Average,Mid (6-10),Veteran (6-10),59.216868193767745,Moderate
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,493,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2,3,44.2,2,4,2,4,Hybrid,2,Low,Early (3-5),Settling (2-3),53.16581230671172,Moderate
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,494,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0,3,39.1,6,2,2,4,Hybrid,3,Low,Entry (0-2),New (0-1),53.10641775017446,Moderate
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,495,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2,3,35.0,11,3,3,3,Hybrid,4,Low,Mid (6-10),Settling (2-3),58.423595042013986,Moderate
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,496,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0,4,38.9,7,4,5,3,Onsite,3,Average,Mid (6-10),New (0-1),54.803937681132474,Moderate
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4,4,40.0,11,4,5,4,Onsite,3,Below Average,Early (3-5),Established (4-5),64.4754499567767,Moderate
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,498,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7,5,41.7,10,2,5,4,Hybrid,3,Below Average,Mid (6-10),Veteran (6-10),58.499339380200034,Moderate
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0,3,38.5,14,5,4,2,Onsite,3,Above Average,Expert (20+),Established (4-5),57.74409210526075,Moderate
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,500,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7,4,47.0,11,3,5,4,Onsite,4,Below Average,Senior (11-20),Veteran (6-10),64.88020209294322,Moderate
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,501,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2,3,36.1,11,3,4,3,Onsite,3,Low,Mid (6-10),Settling (2-3),58.670997439934766,Moderate
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,502,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4,5,53.4,11,1,4,3,Onsite,3,Below Average,Mid (6-10),Established (4-5),47.30140552815663,At Risk
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,505,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2,4,51.1,17,3,4,2,Hybrid,4,High,Expert (20+),Established (4-5),52.65425982120794,Moderate
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3,3,49.0,10,4,3,2,Hybrid,3,Below Average,Early (3-5),Established (4-5),56.146264722112335,Moderate
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,508,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0,3,46.7,8,4,4,4,Onsite,3,Low,Entry (0-2),New (0-1),64.91587909415499,Moderate
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,510,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4,2,35.0,6,3,3,3,Onsite,3,Below Average,Mid (6-10),Veteran (6-10),52.19877077792783,Moderate
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,511,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2,3,43.3,5,2,4,2,Onsite,4,Low,Entry (0-2),Settling (2-3),45.513459986329295,At Risk
36,No,Travel_Rarely,164,Sales,2,2,Medical,513,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0,3,46.6,15,5,2,4,Remote,2,Average,Mid (6-10),Veteran (6-10),60.994443676889446,Moderate
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0,4,48.6,3,4,4,3,Onsite,3,Low,Early (3-5),New (0-1),62.355469375120784,Moderate
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17,3,46.0,5,4,3,5,Remote,2,Below Average,Senior (11-20),Lifer (10+),60.94912678754309,Moderate
40,No,Travel_Rarely,759,Sales,2,2,Marketing,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3,5,40.1,10,3,1,4,Hybrid,2,Below Average,Mid (6-10),Established (4-5),41.14406586084628,At Risk
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2,4,40.8,10,3,4,5,Hybrid,4,Low,Mid (6-10),Established (4-5),58.27199437241332,Moderate
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1,3,53.7,11,2,4,3,Remote,4,Below Average,Senior (11-20),New (0-1),48.70676587702343,At Risk
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,520,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9,3,43.6,21,3,4,5,Remote,3,Above Average,Expert (20+),Lifer (10+),61.52987551488117,Moderate
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0,4,44.3,5,5,4,3,Onsite,3,Below Average,Senior (11-20),New (0-1),58.92883875369679,Moderate
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,522,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,3,49.6,22,4,4,2,Hybrid,4,High,Expert (20+),Established (4-5),48.66613883487325,At Risk
34,No,Non-Travel,1381,Sales,4,4,Marketing,523,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2,5,35.0,13,4,4,4,Remote,2,Average,Mid (6-10),Settling (2-3),60.083888123864206,Moderate
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12,4,47.9,11,2,5,4,Hybrid,4,Below Average,Senior (11-20),Lifer (10+),48.00331473064663,At Risk
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2,3,35.0,11,4,3,3,Remote,3,Low,Mid (6-10),Settling (2-3),62.79589851249908,Moderate
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2,3,59.4,10,3,4,3,Onsite,3,Below Average,Mid (6-10),Established (4-5),58.670997439934766,Moderate
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,527,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3,5,54.7,14,3,5,3,Hybrid,3,Below Average,Early (3-5),Established (4-5),53.2001305750409,Moderate
37,No,Non-Travel,1063,Research & Development,25,5,Medical,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7,4,43.2,11,4,1,4,Hybrid,4,Below Average,Senior (11-20),Lifer (10+),53.1168566660157,Moderate
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2,4,38.0,10,5,3,2,Onsite,3,Low,Early (3-5),Established (4-5),42.983546573270395,At Risk
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,531,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6,3,49.1,21,2,5,4,Onsite,3,High,Expert (20+),Lifer (10+),63.33133035049082,Moderate
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,532,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7,3,44.0,23,4,3,4,Onsite,3,Above Average,Expert (20+),Veteran (6-10),59.96282689633183,Moderate
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4,3,39.9,14,3,4,2,Hybrid,3,Average,Mid (6-10),Established (4-5),53.34209135650701,Moderate
41,No,Travel_Rarely,645,Sales,1,3,Marketing,534,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7,3,45.7,17,5,3,4,Onsite,3,Average,Mid (6-10),Veteran (6-10),66.47073055955055,Moderate
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8,3,46.3,11,3,3,4,Remote,4,Below Average,Mid (6-10),Veteran (6-10),53.383517426363866,Moderate
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2,4,45.2,12,3,3,4,Onsite,2,Below Average,Mid (6-10),Settling (2-3),49.23935799137217,At Risk
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4,3,52.1,18,4,5,4,Onsite,3,Average,Expert (20+),Established (4-5),67.73333109924455,Moderate
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,544,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2,3,39.6,7,4,4,3,Hybrid,4,Low,Mid (6-10),Settling (2-3),64.36402861737886,Moderate
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,546,4,Female,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4,4,39.0,31,3,3,4,Onsite,1,High,Expert (20+),Established (4-5),55.33714130498279,Moderate
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2,4,37.9,8,4,3,3,Hybrid,2,Below Average,Senior (11-20),Established (4-5),55.195411177814755,Moderate
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2,4,45.0,10,4,5,3,Remote,4,Average,Senior (11-20),Established (4-5),57.373987288301244,Moderate
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,549,1,Female,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10,3,53.7,24,4,2,3,Hybrid,3,High,Expert (20+),Lifer (10+),44.45198413034057,At Risk
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8,2,37.0,8,4,4,4,Onsite,4,Below Average,Senior (11-20),Veteran (6-10),70.3807662361057,Healthy
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4,4,37.9,7,3,2,4,Hybrid,4,Below Average,Mid (6-10),Veteran (6-10),53.697605393353776,Moderate
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,554,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4,4,50.4,11,4,2,3,Hybrid,4,Below Average,Mid (6-10),Established (4-5),48.03535298050874,At Risk
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,3,41.5,4,3,3,4,Onsite,3,Low,Early (3-5),Settling (2-3),49.47536064858254,At Risk
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0,5,48.6,11,4,3,3,Onsite,4,Low,Entry (0-2),New (0-1),54.50757964251568,Moderate
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,558,3,Female,79,3,5,Manager,3,Married,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12,4,47.3,31,3,5,4,Remote,1,High,Expert (20+),Lifer (10+),63.55947438598422,Moderate
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2,4,39.3,8,4,2,2,Onsite,3,Low,Early (3-5),Settling (2-3),45.347902310998975,At Risk
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,562,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4,3,41.1,5,4,3,4,Onsite,3,Low,Mid (6-10),Established (4-5),63.853604210459594,Moderate
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,564,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7,5,44.8,23,4,4,4,Hybrid,3,Above Average,Mid (6-10),Veteran (6-10),55.741281931647734,Moderate
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,565,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1,5,38.8,7,2,3,4,Onsite,3,Low,Mid (6-10),Settling (2-3),41.972216986105124,At Risk
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,566,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0,3,37.1,7,2,2,2,Hybrid,2,Low,Entry (0-2),New (0-1),42.81164919100488,At Risk
30,No,Non-Travel,1398,Sales,22,4,Other,567,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8,4,42.2,9,3,2,4,Hybrid,4,Average,Mid (6-10),Veteran (6-10),45.53562769375876,At Risk
57,No,Travel_Rarely,210,Sales,29,3,Marketing,568,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0,4,44.5,17,3,3,3,Remote,4,Above Average,Expert (20+),New (0-1),47.80122922207218,At Risk
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,569,2,Male,88,2,4,Manager,3,Married,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7,5,42.6,23,4,1,4,Hybrid,3,High,Expert (20+),Lifer (10+),44.63009103880752,At Risk
30,No,Non-Travel,1116,Research & Development,2,3,Medical,571,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7,2,39.4,8,4,4,3,Hybrid,4,Low,Senior (11-20),Lifer (10+),68.50818805237057,Moderate
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,573,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11,4,48.2,14,5,2,5,Remote,3,Above Average,Expert (20+),Lifer (10+),57.40213471867387,Moderate
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4,4,43.3,12,2,4,2,Onsite,4,Below Average,Senior (11-20),Established (4-5),48.28195635072283,At Risk
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,575,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,No,13,3,3,0,26,2,1,3,2,0,1,2,44.5,21,3,4,3,Remote,3,High,Expert (20+),Settling (2-3),58.54395648945923,Moderate
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,577,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,No,15,3,3,0,6,2,3,5,4,4,3,2,42.4,6,5,4,3,Onsite,3,Below Average,Mid (6-10),Established (4-5),62.87455143146372,Moderate
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,578,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,No,11,3,3,0,19,3,3,1,0,0,0,2,39.8,20,2,1,5,Onsite,4,Below Average,Senior (11-20),New (0-1),57.98947467845665,Moderate
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7,3,44.3,4,4,3,3,Onsite,3,Low,Senior (11-20),Veteran (6-10),54.99696442058999,Moderate
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,580,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2,5,52.6,16,5,5,4,Hybrid,2,Average,Senior (11-20),Settling (2-3),67.27364359943887,Moderate
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8,5,41.4,22,5,4,4,Remote,3,Above Average,Senior (11-20),Lifer (10+),63.13546388739031,Moderate
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,582,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7,4,48.7,19,2,3,3,Remote,4,Above Average,Senior (11-20),Veteran (6-10),48.58640442957818,At Risk
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,584,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3,5,35.0,5,2,4,3,Onsite,2,Below Average,Mid (6-10),Established (4-5),40.781490614725925,At Risk
30,No,Travel_Rarely,413,Sales,7,1,Marketing,585,4,Male,57,3,1,Sales Representative,2,Single,2983,18398,0,No,14,3,1,0,4,3,3,3,2,1,2,2,35.1,7,4,3,4,Onsite,4,Low,Early (3-5),Settling (2-3),65.3563082315333,Moderate
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,586,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0,3,52.4,11,4,3,3,Hybrid,4,Average,Mid (6-10),Veteran (6-10),59.339570612806455,Moderate
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,587,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,0,12,2,3,1,0,0,0,4,43.2,13,4,2,2,Hybrid,3,Average,Senior (11-20),New (0-1),46.16277479677361,At Risk
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,590,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2,5,59.7,14,5,3,3,Hybrid,4,Average,Senior (11-20),Settling (2-3),48.510899413922914,At Risk
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,591,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4,No,17,3,4,1,8,4,3,2,2,2,0,3,48.5,7,3,3,2,Onsite,3,Low,Mid (6-10),Settling (2-3),49.63836105889361,At Risk
36,No,Non-Travel,635,Sales,10,4,Medical,592,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7,2,46.0,14,4,3,3,Onsite,4,Average,Mid (6-10),Veteran (6-10),64.80445775475717,Moderate
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,16,3,3,0,4,3,3,2,2,1,2,3,41.6,13,3,2,5,Onsite,3,Below Average,Early (3-5),Settling (2-3),57.578742819346985,Moderate
48,No,Travel_Rarely,163,Sales,2,5,Marketing,595,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,No,14,3,1,1,14,2,3,9,7,6,7,2,35.0,16,3,3,3,Onsite,3,Below Average,Senior (11-20),Veteran (6-10),62.5677544770057,Moderate
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,597,1,Female,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7,4,41.9,24,3,3,4,Onsite,3,High,Expert (20+),Veteran (6-10),52.69568589106479,Moderate
41,No,Non-Travel,267,Sales,10,2,Life Sciences,599,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10,3,37.9,12,3,2,4,Remote,3,Average,Senior (11-20),Lifer (10+),60.048770827828335,Moderate
35,No,Travel_Rarely,619,Sales,1,3,Marketing,600,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9,2,38.6,5,2,4,4,Onsite,3,Below Average,Senior (11-20),Lifer (10+),63.771759487869126,Moderate
